,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
76843,bowala01,1979,SS,146,3811.0,229,448,6.0,80,1945.0,34.0,4.636986301369863,99.12152269399708,4.113890132095312
115222,berroan01,2005,SS,159,4081.0,254,441,25.0,108,1978.0,27.0,4.371069182389937,96.52777777777779,4.082061815026156
105549,jacksda04,1999,SS,100,2332.0,136,258,25.0,57,1973.0,26.0,3.94,94.03341288782816,4.037387926227994
27870,peckiro01,1918,SS,122,,260,439,28.0,75,1891.0,27.0,5.729508196721311,96.14855570839065,4.7480550730483975
50877,carrach01,1953,SS,149,,278,462,18.0,87,1926.0,27.0,4.966442953020135,97.62532981530343,4.174706778338868
76793,belanma01,1979,SS,98,1712.0,110,195,3.0,38,1944.0,35.0,3.1122448979591835,99.02597402597402,4.113890132095312
27938,scottev01,1918,SS,126,,270,419,17.0,35,1892.0,26.0,5.468253968253968,97.59206798866855,4.7480550730483975
83704,meachbo01,1984,SS,96,2520.0,136,269,19.0,52,1960.0,24.0,4.21875,95.51886792452831,4.065527914104143
50402,loganjo01,1952,SS,117,,247,385,18.0,81,1926.0,26.0,5.401709401709402,97.23076923076923,4.4379332837716525
50334,joosted01,1952,SS,146,,278,431,28.0,81,1916.0,36.0,4.8561643835616435,96.20081411126186,4.4379332837716525
46668,chrisma01,1947,SS,106,,203,291,11.0,75,1913.0,34.0,4.660377358490566,97.82178217821782,4.2240656455749654
113722,counscr01,2004,SS,129,3392.0,165,357,9.0,70,1970.0,34.0,4.046511627906977,98.30508474576271,4.024608552337825
32826,cooneji02,1926,SS,141,,344,492,24.0,107,1894.0,32.0,5.929078014184397,97.20930232558139,4.458702649258586
28814,bushdo01,1920,SS,140,,258,421,45.0,39,1887.0,33.0,4.85,93.78453038674033,4.625885645914914
77691,russebi01,1979,SS,150,3888.0,218,452,30.0,70,1948.0,31.0,4.466666666666667,95.71428571428572,4.113890132095312
113731,crosbbo01,2004,SS,151,4068.0,241,505,19.0,107,1980.0,24.0,4.940397350993377,97.51633986928104,4.024608552337825
113738,cruzde01,2004,SS,104,2402.0,127,266,8.0,59,1972.0,32.0,3.7788461538461537,98.00498753117208,4.024608552337825
113690,claytro01,2004,SS,144,3723.0,213,417,9.0,88,1970.0,34.0,4.375,98.59154929577466,4.024608552337825
106375,vizquom01,1999,SS,143,3643.0,221,396,15.0,88,1967.0,32.0,4.314685314685315,97.62658227848101,4.037387926227994
46631,boudrlo01,1947,SS,148,,305,475,14.0,120,1917.0,30.0,5.27027027027027,98.2367758186398,4.2240656455749654
83088,bowala01,1984,SS,132,3097.0,217,378,16.0,64,1945.0,39.0,4.507575757575758,97.38134206219313,4.065527914104143
77640,reynocr01,1979,SS,143,3706.0,208,428,23.0,88,1952.0,27.0,4.4475524475524475,96.50986342943855,4.113890132095312
50113,carrach01,1952,SS,99,,176,248,16.0,50,1926.0,26.0,4.282828282828283,96.36363636363636,4.4379332837716525
113836,eckstda01,2004,SS,138,3575.0,198,309,6.0,75,1975.0,29.0,3.6739130434782608,98.83040935672514,4.024608552337825
50156,darkal01,1952,SS,150,,324,423,27.0,116,1922.0,30.0,4.98,96.51162790697676,4.4379332837716525
28769,bancrda01,1920,SS,108,,256,445,40.0,67,1891.0,29.0,6.4907407407407405,94.60188933873145,4.625885645914914
83063,berrada01,1984,SS,135,3588.0,186,449,30.0,65,1956.0,28.0,4.703703703703703,95.48872180451127,4.065527914104143
113864,everead01,2004,SS,99,2526.0,137,279,10.0,56,1977.0,27.0,4.202020202020202,97.65258215962442,4.024608552337825
28825,catonho01,1920,SS,96,,191,296,37.0,40,1894.0,26.0,5.072916666666667,92.93893129770993,4.625885645914914
28828,chapmra01,1920,SS,111,,243,371,26.0,43,1891.0,29.0,5.531531531531532,95.9375,4.625885645914914
113521,berroan01,2004,SS,133,3429.0,207,389,28.0,94,1978.0,26.0,4.481203007518797,95.51282051282051,4.024608552337825
77852,trammal01,1979,SS,142,3547.0,245,388,26.0,99,1958.0,21.0,4.457746478873239,96.0546282245827,4.113890132095312
